,,,,,,,,,,,,
DANH SÁCH BỆNH THEO DANH MỤC ICD,,,,,,,,,,,,
Ngày 19 tháng 08 năm 2021,,,,,,,,,,,,
,,,,,,,,,,,,
STT,Mã,Tên bệnh ,Nhóm bệnh,Mãn tính,Bệnh của,Thường gập,Bệnh năm,Không BH,Ngoài DS,Chuyên khoa,Mô tả,Hiệu lực
40,T09.5,Tổn thương chưa xác định cơ và gân của thân,"Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
41,T09.6,"Chấn thương cắt cụt của thân, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
42,T09.8,"Tổn thương khác xác định tại thân, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
43,T09.9,"Tổn thương chưa xác định của thân, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
44,T10,"Gãy xương của chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
45,T10.0,"Gãy xương của chi trên, tầm chưa xác định, gãy kín","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
46,T10.1,"Gãy xương của chi trên, tầm chưa xác định, gãy hở","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
47,T11,"Tổn thương khác tại chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
48,T11.0,"Tổn thương nông chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
49,T11.1,"Vết thương hở chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
50,T11.2,"Sai khớp, bong gân và căng cơ khớp chưa xác định và dây chằng chi trên, tầm chưa xác định","Tổn thương phần chưa xác định của thân, các chi hoặc vùng cơ thể",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
